XLA,S,RHO,SDA,SDS,P(DOWN),P(IDLE),P(LOSS),MEAN_NS,MEANWTS,MEAN_NQ,MEANWTQ,MEAN_CL,RLWSR,RDLOS,RCLOS,P(CS_SH),P(DN_SK)
0.95,132,0,0.74432,0.70711,0.06002,0.2298,0.05988,1.76465,1.98703,1.054472,1.192671,67.097817,0.692857,0.056883,0.20026,0.01302,0.047
0.95,136,0,0.74432,0.70711,0.05967,0.22954,0.05953,1.768727,1.990556,1.057938,1.195785,69.101473,0.693452,0.056553,0.199995,0.01265,0.04702
0.95,140,0,0.74432,0.70711,0.05934,0.2293,0.0592,1.772576,1.993882,1.061212,1.198721,71.104755,0.694014,0.056241,0.199745,0.01231,0.04703
0.95,144,0,0.74432,0.70711,0.05902,0.22907,0.05889,1.776226,1.997031,1.064316,1.201501,73.108154,0.694547,0.055946,0.199507,0.01198,0.04705
0.95,148,0,0.74432,0.70711,0.05873,0.22885,0.0586,1.779687,2.000014,1.06726,1.204136,75.11139,0.695051,0.055666,0.199283,0.01166,0.04706
0.95,152,0,0.74432,0.70711,0.05844,0.22864,0.05832,1.782973,2.002844,1.070055,1.206635,77.114337,0.69553,0.055401,0.199069,0.01137,0.04708
0.95,156,0,0.74432,0.70711,0.05817,0.22844,0.05805,1.786097,2.005532,1.072712,1.209008,79.117271,0.695985,0.055148,0.198866,0.01108,0.04709
0.95,160,0,0.74432,0.70711,0.05792,0.22825,0.0578,1.789071,2.008089,1.075242,1.211266,81.119904,0.696419,0.054908,0.198673,0.01081,0.0471
0.95,164,0,0.74432,0.70711,0.05767,0.22807,0.05756,1.791905,2.010524,1.077653,1.213416,83.12258,0.696831,0.054679,0.19849,0.01056,0.04712
0.95,168,0,0.74432,0.70711,0.05744,0.2279,0.05733,1.794608,2.012845,1.079953,1.215465,85.125149,0.697225,0.054461,0.198314,0.01031,0.04713
0.95,172,0,0.74432,0.70711,0.05722,0.22774,0.05711,1.797189,2.01506,1.082149,1.217422,87.127384,0.697601,0.054253,0.198147,0.01008,0.04714
0.95,176,0,0.74432,0.70711,0.05701,0.22758,0.0569,1.799657,2.017176,1.084249,1.219291,89.129749,0.69796,0.054053,0.197987,0.00986,0.04715
0.95,180,0,0.74432,0.70711,0.05681,0.22743,0.0567,1.802019,2.019201,1.086258,1.221078,91.13174,0.698304,0.053863,0.197834,0.00965,0.04716
0.95,184,0,0.74432,0.70711,0.05661,0.22729,0.05651,1.804281,2.021138,1.088182,1.222789,93.133927,0.698633,0.05368,0.197687,0.00944,0.04717
0.95,188,0,0.74432,0.70711,0.05642,0.22715,0.05632,1.806449,2.022995,1.090027,1.224429,95.136049,0.698948,0.053506,0.197546,0.00925,0.04718
0.95,192,0,0.74432,0.70711,0.05625,0.22702,0.05615,1.80853,2.024775,1.091798,1.226001,97.13811,0.699251,0.053338,0.197411,0.00906,0.04719
0.95,196,0,0.74432,0.70711,0.05607,0.2269,0.05597,1.810537,2.026492,1.093506,1.227517,99.140597,0.699543,0.053176,0.197281,0.00888,0.0472
0.95,200,0,0.74432,0.70711,0.05591,0.22677,0.05581,1.812458,2.028135,1.09514,1.228968,101.142402,0.699822,0.053021,0.197157,0.0087,0.0472
0.95,4,0,1.05263,0.70711,0.24179,0.35007,0.24179,0.761231,1.056819,0.353083,0.490186,2.482125,0.398193,0.229696,0.322111,0.20387,0.03791
0.95,8,0,1.05263,0.70711,0.17406,0.33654,0.17406,1.005865,1.271723,0.51646,0.648426,4.5937,0.477469,0.165354,0.307178,0.13276,0.0413
0.95,12,0,1.05263,0.70711,0.14293,0.32364,0.14293,1.171224,1.42035,0.637796,0.768408,6.696609,0.520417,0.135784,0.293799,0.10008,0.04285
0.95,16,0,1.05263,0.70711,0.1244,0.31364,0.1244,1.295601,1.536885,0.733644,0.867405,8.781578,0.548251,0.118183,0.283566,0.08062,0.04378
0.95,20,0,1.05263,0.70711,0.11201,0.30587,0.11201,1.393843,1.633209,0.811725,0.951024,10.851851,0.56792,0.106408,0.275671,0.06761,0.0444
0.95,24,0,1.05263,0.70711,0.10311,0.29973,0.10311,1.473839,1.714356,0.87667,1.022112,12.911018,0.582604,0.09795,0.269446,0.05826,0.04484
0.95,28,0,1.05263,0.70711,0.09639,0.29476,0.09639,1.540391,1.783273,0.931541,1.082751,14.961585,0.594,0.091568,0.264432,0.05121,0.04518
0.95,32,0,1.05263,0.70711,0.09113,0.29068,0.09113,1.596664,1.842133,0.978482,1.134676,17.005301,0.603105,0.086576,0.260319,0.04569,0.04544
0.95,36,0,1.05263,0.70711,0.08691,0.28728,0.08691,1.644862,1.892679,1.01905,1.179349,19.04344,0.610548,0.082562,0.25689,0.04125,0.04565
0.95,40,0,1.05263,0.70711,0.08343,0.2844,0.08343,1.68658,1.936334,1.054417,1.217988,21.076969,0.616744,0.079263,0.253993,0.03761,0.04583
0.95,44,0,1.05263,0.70711,0.08053,0.28194,0.08053,1.723012,1.974262,1.08548,1.251599,23.106642,0.621983,0.076502,0.251515,0.03455,0.04597
0.95,48,0,1.05263,0.70711,0.07806,0.27981,0.07806,1.755073,2.007408,1.112943,1.281004,25.133054,0.626468,0.074157,0.249375,0.03196,0.0461
0.95,52,0,1.05263,0.70711,0.07594,0.27795,0.07594,1.783477,2.036546,1.137367,1.306875,27.156686,0.63035,0.07214,0.24751,0.02973,0.0462
0.95,56,0,1.05263,0.70711,0.07409,0.27632,0.07409,1.80879,2.062304,1.159204,1.329763,29.177928,0.633743,0.070387,0.24587,0.0278,0.0463
0.95,60,0,1.05263,0.70711,0.07247,0.27488,0.07247,1.831472,2.085198,1.178821,1.35012,31.197105,0.636733,0.068848,0.244419,0.0261,0.04638
0.95,64,0,1.05263,0.70711,0.07104,0.27359,0.07104,1.851893,2.105651,1.196523,1.368317,33.214485,0.639386,0.067488,0.243126,0.02459,0.04645
0.95,68,0,1.05263,0.70711,0.06976,0.27244,0.06976,1.870362,2.124012,1.212561,1.384661,35.230294,0.641757,0.066276,0.241968,0.02325,0.04651
0.95,72,0,1.05263,0.70711,0.06862,0.2714,0.06862,1.887132,2.140572,1.227148,1.399407,37.244709,0.643887,0.065189,0.240924,0.02205,0.04657
