XLA,S,RHO,SDA,SDS,P(DOWN),P(IDLE),P(LOSS),MEAN_NS,MEANWTS,MEAN_NQ,MEANWTQ,MEAN_CL,RLWSR,RDLOS,RCLOS,P(CS_SH),P(DN_SK)
0.1,4,0,7.07107,0.70711,0.08838,0.82594,0.06773,0.086938,0.93254,0.001259,0.0135,2.81247,0.083589,0.006773,0.009637,0.0428,0.04558
0.1,8,0,7.07107,0.70711,0.07007,0.84302,0.05871,0.088193,0.936936,0.001287,0.013671,4.81074,0.084786,0.005871,0.009343,0.02357,0.0465
0.1,12,0,7.07107,0.70711,0.06323,0.8494,0.05533,0.088665,0.938582,0.001298,0.013736,6.823931,0.085236,0.005533,0.00923,0.01639,0.04684
0.1,16,0,7.07107,0.70711,0.05959,0.8528,0.05353,0.088916,0.939454,0.001303,0.01377,8.833046,0.085476,0.005353,0.009171,0.01257,0.04702
0.1,20,0,7.07107,0.70711,0.05733,0.85491,0.05242,0.089072,0.939994,0.001307,0.013792,10.83876,0.085625,0.005242,0.009134,0.01019,0.04713
0.1,24,0,7.07107,0.70711,0.05578,0.85635,0.05165,0.089179,0.940362,0.001309,0.013806,12.842598,0.085726,0.005165,0.009108,0.00857,0.04721
0.1,28,0,7.07107,0.70711,0.05466,0.85739,0.0511,0.089256,0.940628,0.001311,0.013816,14.845366,0.0858,0.00511,0.00909,0.0074,0.04727
0.1,32,0,7.07107,0.70711,0.05381,0.85818,0.05068,0.089315,0.94083,0.001312,0.013824,16.847463,0.085856,0.005068,0.009076,0.0065,0.04731
0.1,36,0,7.07107,0.70711,0.05315,0.85881,0.05035,0.089361,0.940988,0.001313,0.013831,18.849091,0.0859,0.005035,0.009065,0.0058,0.04734
0.1,40,0,7.07107,0.70711,0.05261,0.85931,0.05008,0.089398,0.941116,0.001314,0.013836,20.850409,0.085935,0.005008,0.009056,0.00524,0.04737
0.1,44,0,7.07107,0.70711,0.05217,0.85972,0.04987,0.089429,0.941221,0.001315,0.01384,22.851519,0.085964,0.004987,0.009049,0.00478,0.04739
0.1,48,0,7.07107,0.70711,0.0518,0.86006,0.04968,0.089454,0.941308,0.001316,0.013843,24.852414,0.085989,0.004968,0.009043,0.00439,0.04741
0.1,52,0,7.07107,0.70711,0.05148,0.86036,0.04953,0.089476,0.941383,0.001316,0.013846,26.853175,0.08601,0.004953,0.009038,0.00406,0.04743
0.1,56,0,7.07107,0.70711,0.05121,0.86061,0.04939,0.089494,0.941447,0.001316,0.013849,28.853881,0.086027,0.004939,0.009033,0.00377,0.04744
0.1,60,0,7.07107,0.70711,0.05098,0.86083,0.04928,0.089511,0.941503,0.001317,0.013851,30.854404,0.086043,0.004928,0.009029,0.00353,0.04745
0.1,64,0,7.07107,0.70711,0.05077,0.86102,0.04918,0.089525,0.941551,0.001317,0.013853,32.854981,0.086056,0.004918,0.009026,0.00331,0.04746
0.1,68,0,7.07107,0.70711,0.05059,0.86119,0.04909,0.089538,0.941595,0.001317,0.013854,34.855351,0.086068,0.004909,0.009023,0.00312,0.04747
0.1,72,0,7.07107,0.70711,0.05043,0.86134,0.04901,0.089549,0.941633,0.001318,0.013856,36.855834,0.086079,0.004901,0.00902,0.00295,0.04748
0.1,76,0,7.07107,0.70711,0.05028,0.86148,0.04893,0.089559,0.941668,0.001318,0.013857,38.856093,0.086089,0.004893,0.009018,0.0028,0.04749
0.1,80,0,7.07107,0.70711,0.05015,0.8616,0.04887,0.089568,0.941699,0.001318,0.013859,40.856545,0.086097,0.004887,0.009016,0.00266,0.04749
0.1,84,0,7.07107,0.70711,0.05003,0.86171,0.04881,0.089576,0.941727,0.001318,0.01386,42.856683,0.086105,0.004881,0.009014,0.00253,0.0475
0.1,88,0,7.07107,0.70711,0.04992,0.86181,0.04876,0.089584,0.941752,0.001318,0.013861,44.857124,0.086112,0.004876,0.009012,0.00242,0.0475
0.1,92,0,7.07107,0.70711,0.04982,0.8619,0.04871,0.08959,0.941776,0.001319,0.013862,46.857155,0.086119,0.004871,0.00901,0.00232,0.04751
0.1,96,0,7.07107,0.70711,0.04973,0.86199,0.04866,0.089597,0.941797,0.001319,0.013862,48.857621,0.086125,0.004866,0.009009,0.00222,0.04751
0.1,100,0,7.07107,0.70711,0.04965,0.86207,0.04862,0.089602,0.941817,0.001319,0.013863,50.857562,0.08613,0.004862,0.009008,0.00213,0.04752
0.1,104,0,7.07107,0.70711,0.04957,0.86214,0.04858,0.089608,0.941835,0.001319,0.013864,52.857836,0.086135,0.004858,0.009006,0.00205,0.04752
0.1,108,0,7.07107,0.70711,0.0495,0.86221,0.04855,0.089613,0.941852,0.001319,0.013865,54.858255,0.08614,0.004855,0.009005,0.00198,0.04752
0.1,112,0,7.07107,0.70711,0.04943,0.86227,0.04852,0.089617,0.941868,0.001319,0.013865,56.858014,0.086144,0.004852,0.009004,0.00191,0.04753
0.1,116,0,7.07107,0.70711,0.04937,0.86233,0.04849,0.089622,0.941882,0.001319,0.013866,58.85867,0.086148,0.004849,0.009003,0.00184,0.04753
0.1,120,0,7.07107,0.70711,0.04931,0.86238,0.04846,0.089626,0.941896,0.001319,0.013866,60.858786,0.086152,0.004846,0.009002,0.00178,0.04753
