XLA,MU,THT,DT1,DT2,N,S,RHO,SDA,SDS,P(DOWN),P(IDLE),P(LOSS),MEAN_NS,MEANWTS,MEAN_NQ,MEANWTQ,MEAN_CL,RLWSR,RDLOS,RCLOS,P(CS_SH),P(DN_SK)
0.8,1,0.1,1,2,4,116,0,0.88388,0.70711,0.06014,0.30945,0.05987,1.21775,1.6222,0.587333,0.784202,59.029577,0.615041,0.047896,0.137063,0.01314,0.04699
0.8,1,0.1,1,2,4,120,0,0.88388,0.70711,0.05973,0.30926,0.05948,1.220014,1.624432,0.589002,0.785987,61.033101,0.615621,0.047581,0.136798,0.01272,0.04701
0.8,1,0.1,1,2,4,124,0,0.88388,0.70711,0.05936,0.30908,0.05911,1.222135,1.626521,0.590565,0.787658,63.036252,0.616165,0.047286,0.136549,0.01232,0.04703
0.8,1,0.1,1,2,4,128,0,0.88388,0.70711,0.059,0.30891,0.05876,1.224128,1.628483,0.592035,0.789228,65.039218,0.616676,0.047008,0.136316,0.01195,0.04705
0.8,1,0.1,1,2,4,132,0,0.88388,0.70711,0.05867,0.30875,0.05843,1.226005,1.630328,0.593418,0.790704,67.042016,0.617157,0.046747,0.136096,0.0116,0.04707
0.8,1,0.1,1,2,4,136,0,0.88388,0.70711,0.05835,0.3086,0.05813,1.227775,1.632068,0.594723,0.792095,69.044661,0.617611,0.0465,0.135889,0.01127,0.04708
0.8,1,0.1,1,2,4,140,0,0.88388,0.70711,0.05806,0.30845,0.05783,1.229447,1.63371,0.595956,0.793409,71.047165,0.61804,0.046267,0.135693,0.01096,0.0471
0.8,1,0.1,1,2,4,144,0,0.88388,0.70711,0.05777,0.30832,0.05756,1.231029,1.635263,0.597123,0.794651,73.049386,0.618445,0.046047,0.135508,0.01066,0.04711
0.8,1,0.1,1,2,4,148,0,0.88388,0.70711,0.05751,0.30819,0.0573,1.232528,1.636733,0.598228,0.795828,75.051455,0.61883,0.045838,0.135332,0.01038,0.04712
0.8,1,0.1,1,2,4,152,0,0.88388,0.70711,0.05726,0.30807,0.05705,1.233948,1.638124,0.599275,0.796941,77.05343,0.619193,0.045641,0.135166,0.01012,0.04714
0.8,1,0.1,1,2,4,156,0,0.88388,0.70711,0.05701,0.30796,0.05682,1.235299,1.639448,0.600271,0.798,79.055344,0.61954,0.045453,0.135007,0.00987,0.04715
0.8,1,0.1,1,2,4,160,0,0.88388,0.70711,0.05679,0.30785,0.05659,1.236585,1.640707,0.601219,0.799007,81.057294,0.619869,0.045274,0.134857,0.00963,0.04716
0.8,1,0.1,1,2,4,164,0,0.88388,0.70711,0.05657,0.30774,0.05638,1.23781,1.641905,0.602122,0.799966,83.058998,0.620183,0.045103,0.134714,0.0094,0.04717
0.8,1,0.1,1,2,4,168,0,0.88388,0.70711,0.05636,0.30764,0.05618,1.238978,1.643048,0.602983,0.80088,85.060788,0.620482,0.044941,0.134577,0.00918,0.04718
0.8,1,0.1,1,2,4,172,0,0.88388,0.70711,0.05616,0.30755,0.05598,1.240093,1.644138,0.603806,0.801752,87.062304,0.620768,0.044786,0.134446,0.00897,0.04719
0.8,1,0.1,1,2,4,176,0,0.88388,0.70711,0.05597,0.30746,0.0558,1.241158,1.64518,0.604591,0.802585,89.063958,0.621041,0.044637,0.134321,0.00877,0.0472
0.8,1,0.1,1,2,4,180,0,0.88388,0.70711,0.05579,0.30737,0.05562,1.242178,1.646175,0.605343,0.803382,91.065818,0.621302,0.044496,0.134202,0.00858,0.04721
0.8,1,0.1,1,2,4,184,0,0.88388,0.70711,0.05562,0.30729,0.05545,1.243158,1.647133,0.606066,0.804148,93.067676,0.621554,0.044359,0.134087,0.0084,0.04722
